numunique,time
175,0.489008
275,0.732726
404,1.06421
544,1.44872
481,1.25175
396,1.04683
489,1.28748
286,0.774063
226,0.613482
347,0.920077
179,0.497585
172,0.481494
161,0.454493
173,0.481324
148,0.421191
79,0.240362
78,0.235713
58,0.191068
73,0.220975
44,0.146335
66,0.204834
82,0.246182
63,0.200466
99,0.29343
59,0.185538
41,0.137027
40,0.135985
49,0.15976
42,0.142658
51,0.161834
33,0.114785
22,0.087003
68,0.206928
74,0.222147
52,0.167204
54,0.169448
61,0.190107
87,0.256341
33,0.114385
58,0.178344
25,0.096571
36,0.127038
24,0.091272
52,0.166092
59,0.181371
40,0.13333
20,0.081964
26,0.097112
63,0.192481
31,0.110508
25,0.09587
16,0.070462
17,0.071504
45,0.148319
8,0.049613
22,0.087023
54,0.168987
38,0.126237
12,0.049413
38,0.127971
17,0.073768
40,0.139602
97,0.286138
25,0.094578
44,0.147477
52,0.168587
40,0.13855
81,0.237326
71,0.218079
53,0.168005
33,0.114676
19,0.080972
15,0.068539
24,0.093025
20,0.079529
12,0.060233
28,0.102713
64,0.19686
22,0.091442
11,0.056115
20,0.080982
25,0.099447
16,0.071835
9,0.052939
8,0.049143
6,0.041889
3,0.036488
15,0.06923
10,0.054342
39,0.126918
24,0.092343
20,0.084359
16,0.070743
16,0.067557
15,0.066946
35,0.119825
15,0.068929
20,0.082495
21,0.083657
17,0.075091
38,0.128872
19,0.080952
15,0.070181
23,0.0902
23,0.072126
18,0.073729
19,0.083496
20,0.07941
7,0.04771
19,0.079399
16,0.073177
7,0.046177
16,0.071154
9,0.05345
9,0.051296
30,0.103324
9,0.05305
5,0.042289
12,0.063329
11,0.048191
14,0.067727
7,0.045705
11,0.060203
3,0.035376
10,0.05354
10,0.056005
5,0.040656
17,0.061004
15,0.06927
15,0.064891
5,0.040506
3,0.036588
2,0.033613
29,0.105308
34,0.116589
28,0.100178
50,0.162746
47,0.153488
59,0.188554
86,0.253626
14,0.06394
12,0.061756
10,0.055203
38,0.127079
51,0.162485
35,0.120767
59,0.177703
43,0.141275
21,0.086462
36,0.126658
27,0.097894
35,0.118161
8,0.049594
22,0.08526
2,0.0322
14,0.06924
43,0.140744
6,0.043331
22,0.087364
2,0.033282
4,0.037701
14,0.06403
6,0.043752
40,0.132338
46,0.14884
5,0.040466
6,0.044474
16,0.06952
58,0.179276
59,0.181832
30,0.10626
50,0.163487
17,0.07419
17,0.073418
7,0.047769
56,0.175129
23,0.090651
49,0.152947
61,0.192301
98,0.280517
66,0.196819
20,0.083718
55,0.170751
10,0.054953
15,0.068128
138,0.386756
22,0.086342
7,0.046898
29,0.105518
139,0.387939
20,0.082114
27,0.100288
46,0.151073
31,0.110347
9,0.05338
58,0.180769
37,0.127529
101,0.283532
125,0.353664
74,0.216857
50,0.156714
56,0.174418
30,0.107833
12,0.059752
27,0.099467
30,0.110698
30,0.105037
4,0.03702
12,0.060143
16,0.067747
18,0.061586
6,0.044744
13,0.063128
8,0.049703
4,0.038352
5,0.038853
4,0.04263
3,0.033794
15,0.054503
1,0.030978
22,0.067787
8,0.042159
13,0.054051
6,0.039314
16,0.055544
5,0.036689
4,0.040186
11,0.046547
11,0.04804
1,0.030468
1,0.029555
4,0.035737
4,0.039444
2,0.03221
4,0.034815
2,0.033183
9,0.050976
8,0.04772
2,0.03204
13,0.049633
3,0.034375
2,0.032411
18,0.078698
1,0.030357
1,0.030828
2,0.032782
41,0.134893
29,0.103163
9,0.050595
7,0.045165
4,0.039424
18,0.072346
19,0.077556
25,0.095379
8,0.051126
22,0.086672
