numunique,time
21,0.17587
28,0.17583
11,0.174257
53,0.181831
23,0.177653
22,0.174698
26,0.177584
44,0.177644
31,0.177773
31,0.173916
50,0.174337
42,0.177003
22,0.175199
11,0.175158
8,0.176341
25,0.175861
13,0.175219
17,0.176121
14,0.175019
18,0.177012
17,0.174668
11,0.174849
9,0.175019
17,0.17561
17,0.180248
28,0.174888
7,0.179707
13,0.177203
10,0.178195
14,0.17542
13,0.182182
14,0.17566
17,0.181391
23,0.18117
16,0.177684
12,0.178365
12,0.326844
15,0.175219
8,0.176351
13,0.17603
11,0.18106
10,0.177584
11,0.182373
15,0.175339
12,0.178596
13,0.173015
10,0.175299
10,0.182773
18,0.176611
16,0.174879
17,0.17573
29,0.183474
23,0.174507
21,0.176582
19,0.177293
12,0.175901
17,0.17549
21,0.181802
25,0.176281
10,0.180459
17,0.175319
11,0.17536
20,0.174869
18,0.178675
15,0.174778
29,0.173796
19,0.17623
23,0.180439
28,0.175149
15,0.179768
13,0.174638
17,0.176431
18,0.175589
18,0.176241
17,0.17605
28,0.176001
12,0.178826
20,0.178575
24,0.181862
19,0.174157
25,0.175439
34,0.180399
9,0.178866
29,0.174477
20,0.176551
15,0.177293
25,0.174487
19,0.175529
41,0.175019
51,0.17597
17,0.17565
32,0.173686
21,0.175329
23,0.18116
26,0.178335
29,0.177774
16,0.174779
7,0.175138
10,0.173847
13,0.176481
16,0.177133
36,0.187042
13,0.173887
43,0.174087
20,0.178345
15,0.174718
20,0.174438
14,0.176091
21,0.175901
12,0.173906
16,0.174428
12,0.175118
28,0.180198
11,0.174097
19,0.176632
23,0.174918
13,0.180218
41,0.174898
35,0.174668
15,0.174869
21,0.176491
31,0.174447
14,0.176702
17,0.174478
20,0.180329
15,0.176221
12,0.17558
19,0.17538
23,0.173967
18,0.180279
13,0.174758
18,0.175319
13,0.175068
12,0.176111
14,0.177874
14,0.177804
22,0.174247
18,0.175229
18,0.177573
14,0.179988
19,0.177303
64,0.180399
38,0.174217
31,0.18062
11,0.177504
39,0.174909
43,0.176171
28,0.175089
22,0.174988
32,0.175981
58,0.175079
50,0.178165
30,0.173987
33,0.1811
23,0.179958
81,0.176721
187,0.177063
71,0.176512
67,0.182302
60,0.179327
62,0.179578
25,0.174638
48,0.179427
39,0.174698
29,0.175539
22,0.176662
37,0.176171
72,0.176381
67,0.176792
86,0.176191
83,0.174457
74,0.178324
80,0.174487
64,0.175519
78,0.174989
74,0.175409
79,0.17602
85,0.174487
57,0.177203
74,0.177423
68,0.174558
66,0.176812
66,0.175069
59,0.182062
77,0.181701
81,0.178254
84,0.176081
58,0.180238
84,0.17595
69,0.32997
73,0.173806
85,0.176441
112,0.177584
78,0.175099
84,0.179918
97,0.177533
114,0.175409
135,0.177153
126,0.176111
96,0.174357
92,0.175259
56,0.173846
86,0.364344
112,0.176701
116,0.175669
169,0.17593
111,0.174387
88,0.18101
75,0.176651
114,0.174528
67,0.174848
91,0.174257
103,0.174147
101,0.175189
88,0.17569
73,0.175239
80,0.175289
51,0.173145
66,0.175219
50,0.177694
56,0.176321
70,0.17576
65,0.174187
59,0.174969
129,0.175881
97,0.178415
75,0.174918
56,0.17565
55,0.180599
57,0.174177
68,0.174137
52,0.179988
70,0.18105
35,0.178536
61,0.179828
56,0.17562
59,0.175529
44,0.17594
55,0.174668
64,0.175359
73,0.179978
49,0.179437
89,0.175049
65,0.179767
63,0.17577
103,0.174778
84,0.174818
54,0.174177
131,0.176311
102,0.180028
58,0.174417
98,0.184326
123,0.176642
54,0.174377
51,0.176342
240,0.175459
197,0.179126
124,0.174818
95,0.175059
52,0.179627
134,0.177142
87,0.175209
87,0.174577
93,0.182342
196,0.175299
143,0.17552
113,0.174959
198,0.17546
161,0.177844
115,0.174167
181,0.175911
141,0.177093
68,0.175709
145,0.1807
54,0.173576
78,0.17584
246,0.183965
131,0.182032
221,0.174448
134,0.175078
106,0.175289
108,0.180468
159,0.177694
146,0.177343
69,0.175609
50,0.17578
84,0.174387
69,0.180449
75,0.176842
112,0.176422
44,0.175049
67,0.17552
66,0.174538
74,0.177924
70,0.182413
71,0.174968
53,0.17583
49,0.175279
102,0.174979
74,0.178636
42,0.179567
52,0.174958
65,0.174858
93,0.177273
58,0.176371
95,0.174047
92,0.179487
63,0.175349
51,0.17547
82,0.173576
32,0.173987
108,0.174087
34,0.17562
41,0.180929
60,0.174888
83,0.175419
90,0.174397
73,0.176892
105,0.179958
111,0.176041
125,0.176863
118,0.182713
73,0.174678
87,0.175329
51,0.174918
86,0.174197
70,0.175079
119,0.174909
86,0.178906
85,0.176111
98,0.174478
69,0.176301
56,0.177413
43,0.173616
96,0.174268
69,0.17543
22,0.17599
90,0.174167
102,0.182874
44,0.174578
48,0.174498
110,0.17536
37,0.174989
4,0.173676
9,0.180118
15,0.174478
9,0.175349
26,0.176711
19,0.175029
42,0.174798
4,0.179798
17,0.17565
23,0.175119
20,0.175299
54,0.174427
50,0.175489
60,0.174567
87,0.176061
140,0.175109
97,0.173716
153,0.181581
124,0.17589
78,0.180058
120,0.175279
94,0.176622
54,0.182042
113,0.174227
53,0.176251
75,0.174678
55,0.176251
59,0.176962
85,0.179136
55,0.180559
42,0.173606
39,0.174468
32,0.179026
47,0.173976
96,0.174358
60,0.175379
70,0.174959
40,0.180358
76,0.181952
32,0.174457
89,0.176802
107,0.174007
54,0.174187
87,0.17578
35,0.172955
38,0.176431
20,0.173827
39,0.176852
29,0.175199
21,0.174097
8,0.182132
10,0.173436
6,0.176241
29,0.17561
17,0.176221
12,0.174258
13,0.179557
21,0.17618
2,0.180439
5,0.178816
22,0.174207
3,0.173746
11,0.176642
1,0.184556
14,0.177243
16,0.176111
19,0.177093
55,0.182052
84,0.182032
11,0.174017
71,0.174157
4,0.175389
71,0.17592
81,0.176451
128,0.17548
90,0.174588
75,0.175369
22,0.173776
45,0.174497
58,0.173466
33,0.174297
49,0.175018
53,0.17563
87,0.17549
85,0.173896
178,0.174779
138,0.176662
118,0.180168
115,0.177072
134,0.174377
191,0.175249
109,0.179528
95,0.176732
76,0.18096
82,0.180449
88,0.17601
64,0.176952
31,0.174769
33,0.175169
31,0.185208
73,0.175841
55,0.176161
77,0.17617
74,0.174818
121,0.176912
43,0.174858
47,0.174427
58,0.174668
46,0.176201
112,0.176552
102,0.174638
61,0.177303
60,0.180719
94,0.174819
88,0.174668
68,0.176241
67,0.174307
48,0.174427
72,0.173977
52,0.174818
74,0.176481
81,0.176622
65,0.174558
67,0.176281
100,0.18104
90,0.175049
100,0.176161
